cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s,laser-disk-center_CB-5e-3_5-s
1291.13,0.014807735343185555,0.016072934176951666,0.016077702039254477,0.013280248785686734,0.01674436891676663
1292.094,0.01364673134626291,0.014906675769261506,0.014869643563761642,0.012118721630448607,0.015569704697135157
1293.058,0.012551889726515076,0.0138165297665094,0.013732590481096919,0.011023082487290519,0.014469752598502696
1294.022,0.011518344646248324,0.012794410064843446,0.012679597824805771,0.009989043020593192,0.013435596755545473
1294.987,0.010538585257288789,0.011830589420846974,0.011715407635596968,0.009016104173374508,0.012456917175517349
1295.951,0.009605523129635456,0.010917029300637893,0.010830974089814345,0.008107495456306422,0.011524549119008534
1296.915,0.008717651861344346,0.010054387098703597,0.010007266115815292,0.0072694405998510086,0.01063386206237899
1297.88,0.007884618862990177,0.009255008904821506,0.009229632539924468,0.006507408852278624,0.009789480257637366
1298.844,0.00712130512482796,0.008532051922284064,0.008493585020159091,0.0058209513737477805,0.009002534765506599
1299.808,0.00643755748240314,0.007885037983118516,0.007801178213124085,0.005198470616887456,0.00828370726822367
1300.772,0.0058258921474483175,0.007292375562756129,0.007148527912125005,0.004618437318389993,0.007631044864455911
1301.736,0.005261353357216386,0.006719620288761225,0.0065228422065482326,0.004053758755929127,0.007026489260549806
1302.701,0.004713549788571625,0.006137352503324722,0.005909643984450048,0.0034777100864799336,0.006442084875829833
1303.665,0.00416347368199165,0.005537054813085725,0.005307981124112102,0.0028747485281814247,0.005856867379014677
1304.629,0.00361152332193971,0.004928689129817696,0.004731530933118997,0.0022464304277891706,0.005270167167761226
1305.594,0.0030690516180114937,0.0043326860372318345,0.004197299220431755,0.0016150870826638305,0.004700023199909717
1306.558,0.002545678924553841,0.0037670863193779917,0.003710351618544363,0.0010130173008796523,0.004166627525317657
1307.522,0.0020446484275345564,0.0032447736294434044,0.0032628402158056038,0.00047049217202969136,0.0036800656888375844
1308.486,0.001564252903538928,0.002769408174871886,0.002842381979814623,1.7392475416529089e-06,0.003234875002409656
