cm-1,CB-5e-3_0,no-agent_0,CB-5e-3_60,no-agent_60,CB-5e-3_300,no-agent_300,CB-5e-3_3600,no-agent_3600
2181.132,-0.093068142139161,0.029283731680663283,-0.0798475220864371,-0.06551785412421564,-0.08399390382089017,-0.06741893166028572,-0.06380909109370651,-0.05961583291733911
2182.096,-0.09364959711428206,0.028636709836177877,-0.08036718393713353,-0.06597674703841684,-0.08428735803350466,-0.06744502787412228,-0.06385394345171759,-0.05972980514737786
2183.06,-0.09417874118753179,0.028082313245048927,-0.08089205577337057,-0.06640927707529988,-0.08452180372745441,-0.06743303450335646,-0.06375643697178655,-0.05975879912751757
2184.025,-0.09462259266169123,0.027614228514657314,-0.08143102930380407,-0.06680395076902373,-0.08468501773463287,-0.067393658821123,-0.06358240401030303,-0.05970881572376388
2184.989,-0.09497257615356568,0.027208297549045184,-0.08197344352973901,-0.06714598535969331,-0.08476069899120543,-0.06735032277475582,-0.0634171277071137,-0.05961216912329822
2185.953,-0.09525023123757595,0.026834683081725156,-0.08248192373402714,-0.06741410615088751,-0.08474163491633585,-0.06732650274958374,-0.06332372104546741,-0.059520553861167246
2186.917,-0.095492307528588,0.02647398368241126,-0.08291091218923408,-0.06761198023755804,-0.08464773461745644,-0.0673393501163956,-0.06332590761521925,-0.05947913631943302
2187.882,-0.09572659253226219,0.02613190734990976,-0.083231838527514,-0.06777227180006862,-0.08453091675496702,-0.06739577509817728,-0.06340018525129912,-0.05950363305191994
2188.846,-0.09596158712494712,0.02583503375542969,-0.08345935280719802,-0.06794219208637485,-0.08444317712916942,-0.06748896273843408,-0.06350312355798711,-0.05957261579617346
2189.81,-0.09618259217028542,0.025618591053219918,-0.08364351228868738,-0.06815501877004125,-0.08440767524245717,-0.06759471534840383,-0.06358423768430378,-0.05964140123304132
2190.774,-0.09637669314828172,0.02548969982764986,-0.08383852222289144,-0.06840630142581451,-0.08440313801367637,-0.06768241836066786,-0.06360989874102764,-0.05967746426055052
2191.739,-0.0965363790592574,0.02542333713445768,-0.08407140541898808,-0.06864651347546707,-0.08438232426557524,-0.06772139256268843,-0.06357704137879137,-0.05967023192431012
2192.703,-0.09667760856006387,0.025368967004414034,-0.08433022364243309,-0.06882205918247898,-0.08431037377517174,-0.06769367681850166,-0.06350178462999034,-0.05963482545413599
2193.667,-0.09681767078694768,0.02528533617341903,-0.08458389443524808,-0.06890379242071715,-0.0841813643018084,-0.06759819257533226,-0.06341697201781174,-0.05960084095787933
2194.631,-0.09697464251995731,0.02516068270453849,-0.08480333127263587,-0.06890864837537435,-0.08402754383087707,-0.0674544898781222,-0.06333881252846989,-0.05958985297760815
2195.595,-0.09714389369079769,0.025012159422468063,-0.0849767563595396,-0.06888365805911562,-0.08390108348063866,-0.06729369365049302,-0.0632697937310337,-0.05961168946223993
2196.56,-0.09730036161560968,0.02486415504938001,-0.0851064141296629,-0.06887319054800585,-0.08383743604877684,-0.06714183205878752,-0.06319571330140296,-0.059660019566175726
2197.524,-0.09741686548733712,0.024733418814094802,-0.08520604343767053,-0.06890411823066558,-0.08384485199844563,-0.06701243974950401,-0.06310606740133935,-0.05971893623190839
2198.488,-0.09747446992322854,0.024619230009692433,-0.08529732484022683,-0.06897624007542448,-0.08390098179622239,-0.06689497276349263,-0.06300608719138844,-0.05977224664640671
2199.453,-0.09748474832004903,0.02451132576963234,-0.0854029980823023,-0.0690710265079803,-0.08396378770188065,-0.06677419186453772,-0.06291550715551311,-0.059815028330583275
2200.417,-0.09747897936139176,0.02440298910542027,-0.08552665998354422,-0.06917693900366935,-0.08399857078496069,-0.0666397436264718,-0.06285534188971456,-0.05984825081210905
2201.381,-0.09748434740225796,0.024293845249457796,-0.08564940268195004,-0.06928419286584828,-0.08398844441964465,-0.06649900439761268,-0.06282138432307784,-0.05986822648398286
